"word","frequency"
"instilling",1
"belief",1
"command",1
"rage",1
"calm",1
"headmaster",1
"years",1
"confided",1
"overwhelming",1
"shared",1
"generally",1
"describes",1
"fury",1
"seas",2
"text",2
"appeared",2
"influential",1
"edition",2
"circulation",1
"widespread",2
"throughout",1
"substantially",1
"revised",2
"compilers",1
"response",2
"continued",1
"revise",1
"releasing",1
"version",5
"incorporating",1
"suggested",1
"composed",1
"tune",2
"iambic",1
"accompany",1
"composer",1
"hundred",1
"use",6
"archaic",1
"term",1
"ancient",1
"seafaring",1
"nation",1
"colony",1
"now",1
"site",1
"involving",1
"words",1
"verse",8
"forbidding",1
"waters",2
"flood",1
"earth",2
"miracles",1
"stilling",1
"walking",1
"references",1
"creation",1
"reference",1
"adoption",1
"devotional",1
"benedictions",1
"recorded",1
"navigation",1
"instructor",1
"master",1
"began",2
"practice",1
"concluding",1
"whereby",1
"becoming",1
"lyrics",2
"altered",2
"suit",1
"technology",1
"variants",1
"specifically",1
"represent",1
"particular",1
"branch",1
"naval",1
"occurred",1
"earlier",1
"clear",1
"records",1
"exist",1
"extra",1
"added",1
"reflect",1
"today",1
"optional",1
"fifth",1
"specific",1
"service",2
"verses",2
"land",1
"air",2
"referencing",1
"published",4
"current",1
"congregations",1
"further",1
"opening",2
"strong",2
"adding",1
"praise",1
"acknowledging",1
"space",1
"traditional",1
"additional",1
"variant",1
"military",1
"submariners",1
"those",3
"church",1
"aboard",2
"battleship",1
"requested",1
"disputably",1
"song",2
"hours",1
"before",1
"used",1
"laments",1
"summer",1
"filmed",1
"stormy",1
"documentary",1
"video",1
"number",1
"funerals",1
"served",4
"funeral",12
"commanding",1
"officer",1
"bombing",1
"killed",1
"crew",1
"performed",1
"state",1
"congregation",2
"broadcaster",1
"penultimate",1
"living",1
"choir",1
"officers",1
"descrizione",2
"regni",2
"et",1
"extensive",1
"da",5
"period",1
"working",1
"missionary",2
"commissioned",1
"completed",2
"draft",1
"manuscript",2
"opposition",1
"primarily",1
"miracle",1
"fallen",1
"favor",1
"prevented",1
"task",1
"editing",1
"edited",1
"probably",1
"perhaps",1
"witnessing",1
"conversion",1
"regarded",1
"something",1
"drafts",1
"called",1
"possession",1
"translation",1
"internet",1
"comparison",1
"early",1
"eventual",1
"de",2
"tre",1
"ed",1
"historique",1
"dos",1
"reinos",1
"e",3
"sur",1
"manoscritti",1
"di",3
"lettere",1
"arti",1
"inediti",1
